animal,hour,date
DELFÍN,06:00,2023-07-20
PESCADO,07:00,2023-07-20
BURRO,09:00,2023-12-14
CEBRA,10:00,2023-12-14
RATÓN,11:00,2023-12-14
GATO,12:00,2023-12-14
BALLENA,01:00,2023-12-14
ARDILLA,02:00,2023-12-14
DELFÍN,03:00,2023-12-14
CABALLO,04:00,2023-12-14
CHIVO,05:00,2023-12-14
CAIMÁN,06:00,2023-12-14
CABALLO,07:00,2023-12-14
JIRAFA,09:00,2022-06-27
CARNERO,10:00,2022-06-27
TIGRE,11:00,2022-06-27
ALACRÁN,12:00,2022-06-27
CABALLO,01:00,2022-06-27
VACA,02:00,2022-06-27
RANA,03:00,2022-06-27
PAVO,04:00,2022-06-27
MONO,05:00,2022-06-27
ZAMURO,06:00,2022-06-27
GALLO,07:00,2022-06-27
VACA,09:00,2022-12-27
MONO,10:00,2022-12-27
ZORRO,11:00,2022-12-27
CEBRA,12:00,2022-12-27
ARDILLA,01:00,2022-12-27
VENADO,02:00,2022-12-27
CERDO,03:00,2022-12-27
ALACRÁN,04:00,2022-12-27
GALLO,05:00,2022-12-27
IGUANA,06:00,2022-12-27
ÁGUILA,07:00,2022-12-27
LEÓN,09:00,2022-07-11
ZORRO,10:00,2022-07-11
RATÓN,11:00,2022-07-11
DELFÍN,12:00,2022-07-11
ALACRÁN,01:00,2022-07-11
BALLENA,02:00,2022-07-11
VENADO,03:00,2022-07-11
LAPA,04:00,2022-07-11
CABALLO,05:00,2022-07-11
BALLENA,06:00,2022-07-11
JIRAFA,07:00,2022-07-11
CERDO,09:00,2024-01-12
RATÓN,10:00,2024-01-12
RANA,11:00,2024-01-12
CHIVO,12:00,2024-01-12
ZAMURO,01:00,2024-01-12
CAMELLO,02:00,2024-01-12
LEÓN,03:00,2024-01-12
CAIMÁN,04:00,2024-01-12
TORO,05:00,2024-01-12
VENADO,06:00,2024-01-12
DELFÍN,07:00,2024-01-12
PERRO,09:00,2024-01-28
ARDILLA,10:00,2024-01-28
PALOMA,11:00,2024-01-28
ZORRO,12:00,2024-01-28
ELEFANTE,01:00,2024-01-28
GALLINA,02:00,2024-01-28
CERDO,03:00,2024-01-28
ZORRO,04:00,2024-01-28
PERICO,05:00,2024-01-28
CULEBRA,06:00,2024-01-28
PESCADO,07:00,2024-01-28
LAPA,09:00,2021-10-07
PERRO,10:00,2021-10-07
PERICO,11:00,2021-10-07
DELFÍN,12:00,2021-10-07
CEBRA,01:00,2021-10-07
CABALLO,02:00,2021-10-07
OSO,03:00,2021-10-07
GALLO,04:00,2021-10-07
ELEFANTE,05:00,2021-10-07
ALACRÁN,06:00,2021-10-07
CARNERO,07:00,2021-10-07
ÁGUILA,09:00,2022-04-21
CIEMPIÉS,10:00,2022-04-21
PALOMA,11:00,2022-04-21
PERICO,12:00,2022-04-21
CHIVO,01:00,2022-04-21
GATO,02:00,2022-04-21
BALLENA,03:00,2022-04-21
CAIMÁN,04:00,2022-04-21
ARDILLA,05:00,2022-04-21
CEBRA,06:00,2022-04-21
TIGRE,07:00,2022-04-21
PERICO,09:00,2023-03-05
MONO,10:00,2023-03-05
BALLENA,11:00,2023-03-05
IGUANA,12:00,2023-03-05
CARNERO,01:00,2023-03-05
ZORRO,02:00,2023-03-05
VENADO,03:00,2023-03-05
ÁGUILA,04:00,2023-03-05
PESCADO,05:00,2023-03-05
CABALLO,06:00,2023-03-05
CERDO,07:00,2023-03-05
VACA,09:00,2021-06-26
DELFÍN,10:00,2021-06-26
IGUANA,11:00,2021-06-26
OSO,12:00,2021-06-26
ELEFANTE,01:00,2021-06-26
ZORRO,03:00,2021-06-26
CAMELLO,04:00,2021-06-26
PERICO,05:00,2021-06-26
RANA,06:00,2021-06-26
CAMELLO,07:00,2021-06-26
CEBRA,09:00,2021-10-11
BALLENA,10:00,2021-10-11
ÁGUILA,11:00,2021-10-11
CEBRA,12:00,2021-10-11
ZAMURO,01:00,2021-10-11
RATÓN,02:00,2021-10-11
PERRO,03:00,2021-10-11
CIEMPIÉS,04:00,2021-10-11
RANA,05:00,2021-10-11
GALLO,06:00,2021-10-11
JIRAFA,07:00,2021-10-11
RANA,09:00,2022-02-01
PAVO,10:00,2022-02-01
ELEFANTE,11:00,2022-02-01
CEBRA,12:00,2022-02-01
LAPA,01:00,2022-02-01
ELEFANTE,02:00,2022-02-01
LEÓN,03:00,2022-02-01
CHIVO,04:00,2022-02-01
MONO,05:00,2022-02-01
GALLINA,06:00,2022-02-01
GALLO,07:00,2022-02-01
ÁGUILA,09:00,2021-08-05
GATO,10:00,2021-08-05
BALLENA,11:00,2021-08-05
CAIMÁN,12:00,2021-08-05
BALLENA,01:00,2021-08-05
VENADO,03:00,2021-08-05
RANA,04:00,2021-08-05
CARNERO,05:00,2021-08-05
LAPA,06:00,2021-08-05
ALACRÁN,07:00,2021-08-05
ALACRÁN,09:00,2023-09-06
PAVO,10:00,2023-09-06
PESCADO,11:00,2023-09-06
ELEFANTE,12:00,2023-09-06
ZAMURO,01:00,2023-09-06
BALLENA,02:00,2023-09-06
ÁGUILA,03:00,2023-09-06
CERDO,04:00,2023-09-06
ZAMURO,05:00,2023-09-06
GALLINA,06:00,2023-09-06
CHIVO,07:00,2023-09-06
ARDILLA,09:00,2023-05-09
BALLENA,10:00,2023-05-09
PERICO,11:00,2023-05-09
PAVO,12:00,2023-05-09
RANA,01:00,2023-05-09
PALOMA,02:00,2023-05-09
CABALLO,03:00,2023-05-09
ELEFANTE,04:00,2023-05-09
DELFÍN,05:00,2023-05-09
IGUANA,06:00,2023-05-09
PERICO,09:00,2022-08-19
DELFÍN,10:00,2022-08-19
BALLENA,11:00,2022-08-19
ZAMURO,12:00,2022-08-19
CAMELLO,01:00,2022-08-19
GALLO,02:00,2022-08-19
OSO,03:00,2022-08-19
CEBRA,04:00,2022-08-19
CIEMPIÉS,05:00,2022-08-19
CIEMPIÉS,06:00,2022-08-19
PALOMA,07:00,2022-08-19
ZORRO,09:00,2022-08-21
CHIVO,10:00,2022-08-21
PALOMA,11:00,2022-08-21
CULEBRA,12:00,2022-08-21
GATO,01:00,2022-08-21
BURRO,02:00,2022-08-21
ARDILLA,03:00,2022-08-21
ALACRÁN,04:00,2022-08-21
DELFÍN,05:00,2022-08-21
LAPA,06:00,2022-08-21
MONO,07:00,2022-08-21
JIRAFA,09:00,2021-06-22
BURRO,10:00,2021-06-22
CARNERO,11:00,2021-06-22
CAIMÁN,12:00,2021-06-22
VENADO,01:00,2021-06-22
CAIMÁN,03:00,2021-06-22
PALOMA,04:00,2021-06-22
ALACRÁN,05:00,2021-06-22
VACA,06:00,2021-06-22
RANA,07:00,2021-06-22
GALLINA,09:00,2023-12-11
CULEBRA,10:00,2023-12-11
CAMELLO,11:00,2023-12-11
PERICO,12:00,2023-12-11
DELFÍN,01:00,2023-12-11
CARNERO,02:00,2023-12-11
LEÓN,03:00,2023-12-11
PESCADO,04:00,2023-12-11
ARDILLA,05:00,2023-12-11
LEÓN,06:00,2023-12-11
ZAMURO,07:00,2023-12-11
IGUANA,09:00,2021-10-30
LEÓN,10:00,2021-10-30
ZAMURO,11:00,2021-10-30
CEBRA,12:00,2021-10-30
PERRO,01:00,2021-10-30
ZORRO,02:00,2021-10-30
LEÓN,03:00,2021-10-30
VENADO,04:00,2021-10-30
OSO,05:00,2021-10-30
RANA,06:00,2021-10-30
ALACRÁN,07:00,2021-10-30
CAIMÁN,09:00,2021-03-27
OSO,10:00,2021-03-27
BALLENA,11:00,2021-03-27
TORO,12:00,2021-03-27
IGUANA,01:00,2021-03-27
CULEBRA,03:00,2021-03-27
CAIMÁN,04:00,2021-03-27
GATO,05:00,2021-03-27
PESCADO,06:00,2021-03-27
PERICO,07:00,2021-03-27
DELFÍN,09:00,2021-11-10
BALLENA,10:00,2021-11-10
JIRAFA,11:00,2021-11-10
PERICO,12:00,2021-11-10
TIGRE,01:00,2021-11-10
IGUANA,02:00,2021-11-10
DELFÍN,03:00,2021-11-10
TORO,04:00,2021-11-10
CEBRA,05:00,2021-11-10
CIEMPIÉS,06:00,2021-11-10
PERICO,07:00,2021-11-10
ARDILLA,09:00,2022-11-19
GATO,10:00,2022-11-19
PESCADO,11:00,2022-11-19
CIEMPIÉS,12:00,2022-11-19
CAIMÁN,01:00,2022-11-19
LEÓN,02:00,2022-11-19
ZORRO,03:00,2022-11-19
BALLENA,04:00,2022-11-19
JIRAFA,05:00,2022-11-19
MONO,06:00,2022-11-19
DELFÍN,07:00,2022-11-19
CAIMÁN,09:00,2022-06-20
ARDILLA,10:00,2022-06-20
ÁGUILA,11:00,2022-06-20
GATO,12:00,2022-06-20
CAMELLO,01:00,2022-06-20
DELFÍN,02:00,2022-06-20
CEBRA,03:00,2022-06-20
ÁGUILA,04:00,2022-06-20
PERICO,05:00,2022-06-20
CULEBRA,06:00,2022-06-20
CABALLO,07:00,2022-06-20
VENADO,09:00,2020-03-05
JIRAFA,10:00,2020-03-05
LEÓN,11:00,2020-03-05
MONO,12:00,2020-03-05
DELFÍN,01:00,2020-03-05
PERRO,03:00,2020-03-05
ELEFANTE,04:00,2020-03-05
ARDILLA,05:00,2020-03-05
ARDILLA,06:00,2020-03-05
OSO,07:00,2020-03-05
VACA,09:00,2021-04-20
GALLINA,10:00,2021-04-20
ZAMURO,11:00,2021-04-20
PERICO,12:00,2021-04-20
CULEBRA,01:00,2021-04-20
DELFÍN,03:00,2021-04-20
RANA,04:00,2021-04-20
CAMELLO,05:00,2021-04-20
LAPA,06:00,2021-04-20
GALLINA,07:00,2021-04-20
PESCADO,09:00,2021-03-11
CAMELLO,10:00,2021-03-11
IGUANA,11:00,2021-03-11
ELEFANTE,12:00,2021-03-11
CEBRA,01:00,2021-03-11
ALACRÁN,03:00,2021-03-11
GALLINA,04:00,2021-03-11
LAPA,05:00,2021-03-11
PERICO,06:00,2021-03-11
CULEBRA,07:00,2021-03-11
TORO,09:00,2022-10-01
CHIVO,10:00,2022-10-01
OSO,11:00,2022-10-01
ÁGUILA,12:00,2022-10-01
CAMELLO,01:00,2022-10-01
LAPA,02:00,2022-10-01
CARNERO,03:00,2022-10-01
RATÓN,04:00,2022-10-01
PERICO,05:00,2022-10-01
GALLO,06:00,2022-10-01
BALLENA,07:00,2022-10-01
LEÓN,09:00,2020-02-05
ARDILLA,10:00,2020-02-05
CERDO,11:00,2020-02-05
PERICO,12:00,2020-02-05
CHIVO,01:00,2020-02-05
LAPA,03:00,2020-02-05
BALLENA,04:00,2020-02-05
PESCADO,05:00,2020-02-05
IGUANA,06:00,2020-02-05
OSO,07:00,2020-02-05
MONO,09:00,2021-02-07
CERDO,10:00,2021-02-07
PAVO,11:00,2021-02-07
TIGRE,12:00,2021-02-07
CAIMÁN,01:00,2021-02-07
PESCADO,03:00,2021-02-07
ZAMURO,04:00,2021-02-07
VENADO,05:00,2021-02-07
LAPA,06:00,2021-02-07
RATÓN,07:00,2021-02-07
PESCADO,09:00,2023-09-30
ELEFANTE,10:00,2023-09-30
PERICO,11:00,2023-09-30
IGUANA,12:00,2023-09-30
CHIVO,01:00,2023-09-30
TIGRE,02:00,2023-09-30
PAVO,03:00,2023-09-30
LAPA,04:00,2023-09-30
GALLINA,05:00,2023-09-30
CAMELLO,06:00,2023-09-30
IGUANA,07:00,2023-09-30
GALLO,09:00,2021-02-22
GALLINA,10:00,2021-02-22
OSO,11:00,2021-02-22
CEBRA,12:00,2021-02-22
BALLENA,01:00,2021-02-22
TIGRE,03:00,2021-02-22
ZORRO,04:00,2021-02-22
JIRAFA,05:00,2021-02-22
CAIMÁN,06:00,2021-02-22
CABALLO,07:00,2021-02-22
CHIVO,09:00,2021-08-14
ÁGUILA,10:00,2021-08-14
CULEBRA,11:00,2021-08-14
CAIMÁN,12:00,2021-08-14
BALLENA,01:00,2021-08-14
ARDILLA,03:00,2021-08-14
RANA,04:00,2021-08-14
DELFÍN,05:00,2021-08-14
JIRAFA,06:00,2021-08-14
DELFÍN,07:00,2021-08-14
CERDO,09:00,2022-06-15
TIGRE,10:00,2022-06-15
VACA,11:00,2022-06-15
PALOMA,12:00,2022-06-15
ARDILLA,01:00,2022-06-15
ELEFANTE,02:00,2022-06-15
IGUANA,03:00,2022-06-15
CEBRA,04:00,2022-06-15
PERICO,05:00,2022-06-15
CIEMPIÉS,06:00,2022-06-15
PESCADO,07:00,2022-06-15
BURRO,09:00,2020-09-25
GALLO,10:00,2020-09-25
OSO,11:00,2020-09-25
ARDILLA,12:00,2020-09-25
TIGRE,01:00,2020-09-25
ÁGUILA,09:00,2022-11-07
CERDO,10:00,2022-11-07
CEBRA,11:00,2022-11-07
PERICO,12:00,2022-11-07
CHIVO,01:00,2022-11-07
CAMELLO,02:00,2022-11-07
PALOMA,03:00,2022-11-07
TIGRE,04:00,2022-11-07
RATÓN,05:00,2022-11-07
TORO,06:00,2022-11-07
OSO,07:00,2022-11-07
VENADO,09:00,2022-05-02
MONO,10:00,2022-05-02
TORO,11:00,2022-05-02
DELFÍN,12:00,2022-05-02
CABALLO,01:00,2022-05-02
OSO,02:00,2022-05-02
LEÓN,03:00,2022-05-02
RATÓN,04:00,2022-05-02
CAIMÁN,05:00,2022-05-02
VENADO,06:00,2022-05-02
CEBRA,07:00,2022-05-02
LEÓN,09:00,2021-04-19
CARNERO,10:00,2021-04-19
CAIMÁN,11:00,2021-04-19
TIGRE,12:00,2021-04-19
CAIMÁN,01:00,2021-04-19
PESCADO,03:00,2021-04-19
CAMELLO,04:00,2021-04-19
GALLO,05:00,2021-04-19
ELEFANTE,06:00,2021-04-19
BALLENA,07:00,2021-04-19
OSO,09:00,2022-12-28
CAMELLO,10:00,2022-12-28
ELEFANTE,11:00,2022-12-28
PESCADO,12:00,2022-12-28
PAVO,01:00,2022-12-28
MONO,02:00,2022-12-28
GALLINA,03:00,2022-12-28
GATO,04:00,2022-12-28
CERDO,05:00,2022-12-28
CABALLO,06:00,2022-12-28
PALOMA,07:00,2022-12-28
ZORRO,09:00,2021-02-08
PERICO,10:00,2021-02-08
GALLINA,11:00,2021-02-08
JIRAFA,12:00,2021-02-08
DELFÍN,01:00,2021-02-08
PAVO,03:00,2021-02-08
ELEFANTE,04:00,2021-02-08
LEÓN,05:00,2021-02-08
CARNERO,06:00,2021-02-08
VACA,07:00,2021-02-08
GALLO,09:00,2020-12-16
GALLINA,10:00,2020-12-16
ÁGUILA,11:00,2020-12-16
ZORRO,12:00,2020-12-16
MONO,01:00,2020-12-16
ELEFANTE,03:00,2020-12-16
BALLENA,04:00,2020-12-16
GALLO,05:00,2020-12-16
ARDILLA,06:00,2020-12-16
CERDO,07:00,2020-12-16
ARDILLA,09:00,2020-11-16
LEÓN,10:00,2020-11-16
CHIVO,11:00,2020-11-16
ZAMURO,12:00,2020-11-16
JIRAFA,01:00,2020-11-16
CAIMÁN,03:00,2020-11-16
VACA,04:00,2020-11-16
RATÓN,05:00,2020-11-16
RANA,06:00,2020-11-16
BURRO,07:00,2020-11-16
JIRAFA,09:00,2021-05-06
VENADO,10:00,2021-05-06
BALLENA,11:00,2021-05-06
JIRAFA,12:00,2021-05-06
CULEBRA,01:00,2021-05-06
VACA,03:00,2021-05-06
ZORRO,04:00,2021-05-06
CAMELLO,05:00,2021-05-06
DELFÍN,06:00,2021-05-06
ARDILLA,07:00,2021-05-06
RANA,09:00,2021-06-27
CULEBRA,10:00,2021-06-27
VENADO,11:00,2021-06-27
VACA,12:00,2021-06-27
GATO,01:00,2021-06-27
CHIVO,03:00,2021-06-27
ALACRÁN,04:00,2021-06-27
BALLENA,05:00,2021-06-27
CEBRA,06:00,2021-06-27
LAPA,07:00,2021-06-27
PERRO,09:00,2020-12-11
CARNERO,10:00,2020-12-11
JIRAFA,11:00,2020-12-11
CAMELLO,12:00,2020-12-11
CERDO,01:00,2020-12-11
TORO,03:00,2020-12-11
BALLENA,04:00,2020-12-11
PESCADO,05:00,2020-12-11
PERRO,06:00,2020-12-11
CAIMÁN,07:00,2020-12-11
ELEFANTE,09:00,2022-08-07
PERICO,10:00,2022-08-07
CERDO,11:00,2022-08-07
RANA,12:00,2022-08-07
ZAMURO,01:00,2022-08-07
CIEMPIÉS,02:00,2022-08-07
PERRO,03:00,2022-08-07
JIRAFA,04:00,2022-08-07
CAIMÁN,05:00,2022-08-07
VACA,06:00,2022-08-07
CEBRA,07:00,2022-08-07
RANA,09:00,2021-02-24
LAPA,10:00,2021-02-24
PESCADO,11:00,2021-02-24
RATÓN,12:00,2021-02-24
CHIVO,01:00,2021-02-24
PALOMA,03:00,2021-02-24
CAMELLO,04:00,2021-02-24
GATO,05:00,2021-02-24
DELFÍN,06:00,2021-02-24
PALOMA,07:00,2021-02-24
RANA,09:00,2020-11-17
RATÓN,10:00,2020-11-17
VENADO,11:00,2020-11-17
PERRO,12:00,2020-11-17
BURRO,01:00,2020-11-17
CIEMPIÉS,03:00,2020-11-17
CAMELLO,04:00,2020-11-17
CARNERO,05:00,2020-11-17
VACA,06:00,2020-11-17
RATÓN,07:00,2020-11-17
PERICO,09:00,2023-11-04
BURRO,10:00,2023-11-04
CHIVO,11:00,2023-11-04
GALLO,12:00,2023-11-04
CARNERO,01:00,2023-11-04
ARDILLA,02:00,2023-11-04
ELEFANTE,03:00,2023-11-04
RANA,04:00,2023-11-04
VACA,05:00,2023-11-04
ZORRO,06:00,2023-11-04
CULEBRA,07:00,2023-11-04
OSO,09:00,2021-08-23
PESCADO,10:00,2021-08-23
VACA,11:00,2021-08-23
PAVO,12:00,2021-08-23
GATO,01:00,2021-08-23
JIRAFA,03:00,2021-08-23
PALOMA,04:00,2021-08-23
CAMELLO,05:00,2021-08-23
VENADO,06:00,2021-08-23
CERDO,07:00,2021-08-23
JIRAFA,09:00,2022-04-17
PALOMA,10:00,2022-04-17
CULEBRA,11:00,2022-04-17
LAPA,12:00,2022-04-17
BURRO,01:00,2022-04-17
PERICO,02:00,2022-04-17
LEÓN,03:00,2022-04-17
CAIMÁN,04:00,2022-04-17
MONO,05:00,2022-04-17
BURRO,06:00,2022-04-17
ZAMURO,07:00,2022-04-17
CABALLO,09:00,2022-03-18
TIGRE,10:00,2022-03-18
PERRO,11:00,2022-03-18
PERRO,12:00,2022-03-18
PAVO,01:00,2022-03-18
JIRAFA,02:00,2022-03-18
CARNERO,03:00,2022-03-18
RANA,04:00,2022-03-18
BALLENA,05:00,2022-03-18
ÁGUILA,06:00,2022-03-18
ZORRO,07:00,2022-03-18
CIEMPIÉS,09:00,2023-07-07
MONO,10:00,2023-07-07
CAMELLO,11:00,2023-07-07
CEBRA,12:00,2023-07-07
PERICO,01:00,2023-07-07
PERICO,02:00,2023-07-07
PESCADO,03:00,2023-07-07
TORO,04:00,2023-07-07
PERRO,05:00,2023-07-07
CHIVO,06:00,2023-07-07
RATÓN,07:00,2023-07-07
LEÓN,09:00,2021-10-27
ZAMURO,10:00,2021-10-27
CHIVO,11:00,2021-10-27
GALLO,12:00,2021-10-27
VENADO,01:00,2021-10-27
RANA,02:00,2021-10-27
CAMELLO,03:00,2021-10-27
CARNERO,04:00,2021-10-27
GALLINA,05:00,2021-10-27
ZORRO,06:00,2021-10-27
CARNERO,07:00,2021-10-27
GALLINA,09:00,2024-03-11
BURRO,10:00,2024-03-11
PERRO,11:00,2024-03-11
ALACRÁN,12:00,2024-03-11
IGUANA,01:00,2024-03-11
CARNERO,02:00,2024-03-11
CAIMÁN,03:00,2024-03-11
RATÓN,04:00,2024-03-11
CEBRA,05:00,2024-03-11
OSO,06:00,2024-03-11
GATO,07:00,2024-03-11
CERDO,09:00,2020-01-28
ARDILLA,10:00,2020-01-28
LEÓN,11:00,2020-01-28
CAIMÁN,12:00,2020-01-28
ARDILLA,01:00,2020-01-28
GALLINA,03:00,2020-01-28
RATÓN,04:00,2020-01-28
BURRO,05:00,2020-01-28
CULEBRA,06:00,2020-01-28
JIRAFA,07:00,2020-01-28
PAVO,09:00,2023-06-24
ARDILLA,10:00,2023-06-24
CAMELLO,11:00,2023-06-24
RATÓN,12:00,2023-06-24
VACA,01:00,2023-06-24
LEÓN,02:00,2023-06-24
PALOMA,03:00,2023-06-24
CULEBRA,04:00,2023-06-24
RATÓN,05:00,2023-06-24
LAPA,06:00,2023-06-24
PERICO,07:00,2023-06-24
CIEMPIÉS,09:00,2023-04-16
PAVO,10:00,2023-04-16
PESCADO,11:00,2023-04-16
CARNERO,12:00,2023-04-16
CAMELLO,01:00,2023-04-16
PALOMA,02:00,2023-04-16
JIRAFA,03:00,2023-04-16
ARDILLA,04:00,2023-04-16
ZAMURO,05:00,2023-04-16
ELEFANTE,06:00,2023-04-16
ÁGUILA,07:00,2023-04-16
LAPA,09:00,2020-02-17
MONO,10:00,2020-02-17
BALLENA,11:00,2020-02-17
CIEMPIÉS,12:00,2020-02-17
GALLINA,01:00,2020-02-17
IGUANA,03:00,2020-02-17
PERICO,04:00,2020-02-17
CARNERO,05:00,2020-02-17
PESCADO,06:00,2020-02-17
CERDO,07:00,2020-02-17
ARDILLA,09:00,2024-03-15
ZAMURO,10:00,2024-03-15
PALOMA,11:00,2024-03-15
TIGRE,12:00,2024-03-15
RATÓN,01:00,2024-03-15
CERDO,02:00,2024-03-15
MONO,03:00,2024-03-15
ELEFANTE,04:00,2024-03-15
BALLENA,05:00,2024-03-15
PAVO,06:00,2024-03-15
CARNERO,07:00,2024-03-15
BALLENA,09:00,2020-10-06
CERDO,10:00,2020-10-06
ARDILLA,11:00,2020-10-06
CEBRA,12:00,2020-10-06
PERICO,01:00,2020-10-06
CAMELLO,03:00,2020-10-06
RATÓN,04:00,2020-10-06
VENADO,05:00,2020-10-06
IGUANA,06:00,2020-10-06
LAPA,07:00,2020-10-06
CIEMPIÉS,09:00,2022-06-17
VENADO,10:00,2022-06-17
CEBRA,11:00,2022-06-17
CARNERO,12:00,2022-06-17
ZAMURO,01:00,2022-06-17
GATO,02:00,2022-06-17
TIGRE,03:00,2022-06-17
MONO,04:00,2022-06-17
VENADO,05:00,2022-06-17
RATÓN,06:00,2022-06-17
GALLINA,07:00,2022-06-17
GATO,09:00,2022-05-23
OSO,10:00,2022-05-23
GALLINA,11:00,2022-05-23
GALLO,12:00,2022-05-23
ELEFANTE,01:00,2022-05-23
TIGRE,02:00,2022-05-23
PALOMA,03:00,2022-05-23
CIEMPIÉS,04:00,2022-05-23
CHIVO,05:00,2022-05-23
CAIMÁN,06:00,2022-05-23
ÁGUILA,07:00,2022-05-23
OSO,09:00,2023-06-16
PESCADO,10:00,2023-06-16
JIRAFA,11:00,2023-06-16
ALACRÁN,12:00,2023-06-16
PERRO,01:00,2023-06-16
LEÓN,02:00,2023-06-16
ZAMURO,03:00,2023-06-16
MONO,04:00,2023-06-16
IGUANA,05:00,2023-06-16
IGUANA,06:00,2023-06-16
CEBRA,07:00,2023-06-16
ALACRÁN,09:00,2022-06-13
CERDO,10:00,2022-06-13
CAMELLO,11:00,2022-06-13
TIGRE,12:00,2022-06-13
DELFÍN,01:00,2022-06-13
ARDILLA,02:00,2022-06-13
RATÓN,03:00,2022-06-13
ELEFANTE,04:00,2022-06-13
PERRO,05:00,2022-06-13
CEBRA,06:00,2022-06-13
RATÓN,07:00,2022-06-13
CERDO,09:00,2023-07-16
CIEMPIÉS,10:00,2023-07-16
DELFÍN,11:00,2023-07-16
VENADO,12:00,2023-07-16
CAMELLO,01:00,2023-07-16
IGUANA,02:00,2023-07-16
TORO,03:00,2023-07-16
TIGRE,04:00,2023-07-16
CARNERO,05:00,2023-07-16
RATÓN,06:00,2023-07-16
CAIMÁN,07:00,2023-07-16
IGUANA,09:00,2023-07-24
PAVO,10:00,2023-07-24
ALACRÁN,11:00,2023-07-24
RANA,12:00,2023-07-24
PESCADO,01:00,2023-07-24
ELEFANTE,02:00,2023-07-24
ARDILLA,03:00,2023-07-24
TIGRE,04:00,2023-07-24
ÁGUILA,05:00,2023-07-24
CAIMÁN,06:00,2023-07-24
CAIMÁN,07:00,2023-07-24
LAPA,09:00,2022-04-28
CABALLO,10:00,2022-04-28
IGUANA,11:00,2022-04-28
GATO,12:00,2022-04-28
BURRO,01:00,2022-04-28
JIRAFA,02:00,2022-04-28
TIGRE,03:00,2022-04-28
GALLO,04:00,2022-04-28
PALOMA,05:00,2022-04-28
CARNERO,06:00,2022-04-28
ÁGUILA,07:00,2022-04-28
PALOMA,09:00,2022-02-26
JIRAFA,10:00,2022-02-26
CHIVO,11:00,2022-02-26
ÁGUILA,12:00,2022-02-26
CABALLO,01:00,2022-02-26
GATO,02:00,2022-02-26
GALLINA,03:00,2022-02-26
LEÓN,04:00,2022-02-26
CIEMPIÉS,05:00,2022-02-26
ARDILLA,06:00,2022-02-26
PAVO,07:00,2022-02-26
TIGRE,10:00,2020-09-08
BURRO,11:00,2020-09-08
LEÓN,12:00,2020-09-08
PESCADO,09:00,2023-06-26
BURRO,10:00,2023-06-26
ZORRO,11:00,2023-06-26
ZAMURO,12:00,2023-06-26
ELEFANTE,01:00,2023-06-26
CULEBRA,02:00,2023-06-26
PALOMA,03:00,2023-06-26
CAIMÁN,04:00,2023-06-26
TIGRE,05:00,2023-06-26
LAPA,06:00,2023-06-26
JIRAFA,07:00,2023-06-26
OSO,09:00,2024-03-19
ALACRÁN,10:00,2024-03-19
CABALLO,11:00,2024-03-19
CHIVO,12:00,2024-03-19
ALACRÁN,01:00,2024-03-19
BALLENA,02:00,2024-03-19
MONO,03:00,2024-03-19
ARDILLA,04:00,2024-03-19
CIEMPIÉS,05:00,2024-03-19
PERRO,06:00,2024-03-19
JIRAFA,07:00,2024-03-19
CERDO,09:00,2022-09-05
TIGRE,10:00,2022-09-05
GALLO,11:00,2022-09-05
GALLINA,12:00,2022-09-05
DELFÍN,01:00,2022-09-05
OSO,02:00,2022-09-05
ZAMURO,03:00,2022-09-05
CABALLO,04:00,2022-09-05
LAPA,05:00,2022-09-05
JIRAFA,06:00,2022-09-05
RATÓN,07:00,2022-09-05
TIGRE,09:00,2021-01-22
LEÓN,10:00,2021-01-22
VENADO,11:00,2021-01-22
BURRO,12:00,2021-01-22
GALLO,01:00,2021-01-22
ELEFANTE,03:00,2021-01-22
ALACRÁN,04:00,2021-01-22
CHIVO,05:00,2021-01-22
CULEBRA,06:00,2021-01-22
CHIVO,07:00,2021-01-22
OSO,09:00,2023-07-29
VENADO,10:00,2023-07-29
LEÓN,11:00,2023-07-29
CAMELLO,12:00,2023-07-29
CABALLO,01:00,2023-07-29
ELEFANTE,02:00,2023-07-29
CERDO,03:00,2023-07-29
DELFÍN,04:00,2023-07-29
CIEMPIÉS,05:00,2023-07-29
CARNERO,06:00,2023-07-29
IGUANA,07:00,2023-07-29
CARNERO,09:00,2023-11-29
GATO,10:00,2023-11-29
RATÓN,11:00,2023-11-29
DELFÍN,12:00,2023-11-29
CAIMÁN,01:00,2023-11-29
CULEBRA,02:00,2023-11-29
PAVO,03:00,2023-11-29
CABALLO,04:00,2023-11-29
PALOMA,05:00,2023-11-29
ZORRO,06:00,2023-11-29
DELFÍN,07:00,2023-11-29
GALLINA,09:00,2022-03-28
GALLO,10:00,2022-03-28
ZAMURO,11:00,2022-03-28
VACA,12:00,2022-03-28
ARDILLA,01:00,2022-03-28
BALLENA,02:00,2022-03-28
IGUANA,03:00,2022-03-28
ELEFANTE,04:00,2022-03-28
LAPA,05:00,2022-03-28
LAPA,06:00,2022-03-28
CHIVO,07:00,2022-03-28
RANA,09:00,2023-10-07
GALLINA,10:00,2023-10-07
OSO,11:00,2023-10-07
PALOMA,12:00,2023-10-07
TIGRE,01:00,2023-10-07
BALLENA,02:00,2023-10-07
CEBRA,03:00,2023-10-07
CAMELLO,04:00,2023-10-07
GATO,05:00,2023-10-07
CHIVO,06:00,2023-10-07
IGUANA,07:00,2023-10-07
CEBRA,09:00,2021-12-12
